Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
endBody4,-5.5021E-05,-0.047926,-0.15922,0,0,0,1.8714,0.0031433,-1.6051E-06,3.5399E-07,0.0028455,-2.1303E-06,0.0012282,0,0,0,0,0,0,package://两个电缸/meshes/endBody4.STL,1,1,1,1,0,0,0,0,0,0,package://两个电缸/meshes/endBody4.STL,,大抽屉抽拉总图8-17.STEP-1/B-____________-__________.STEP-1/_____________2.STEP-1;大抽屉抽拉总图8-17.STEP-1/B-____________-__________.STEP-1/B________________.STEP-1;大抽屉抽拉总图8-17.STEP-1/B-____________-__________.STEP-1/TFMEC044-P-120.STEP-1;大抽屉抽拉总图8-17.STEP-1/B-____________-__________.STEP-1/TFMEC044-P-120.STEP-2;大抽屉抽拉总图8-17.STEP-1/B-____________-__________.STEP-1/______IDS830ABS.STEP-1;大抽屉抽拉总图8-17.STEP-1/B-____________-__________.STEP-1/______IDS830ABS.STEP-2;大抽屉抽拉总图8-17.STEP-1/B-____________-__________.STEP-1/____________-0_1.STEP-3;大抽屉抽拉总图8-17.STEP-1/B-____________-__________.STEP-1/____________-0_1.STEP-2;大抽屉抽拉总图8-17.STEP-1/B-____________-__________.STEP-1/STW-D10JF-_______2.STEP-1,endbody4,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
endlink1,0.00019307,0.00639,0.024544,0,0,0,0.070322,7.0736E-05,-1.1531E-10,-1.1462E-12,6.3227E-05,2.1893E-06,1.1317E-05,0,0,0,0,0,0,package://两个电缸/meshes/endlink1.STL,1,1,1,1,0,0,0,0,0,0,package://两个电缸/meshes/endlink1.STL,,大抽屉抽拉总图8-17.STEP-1/B-____________-__________.STEP-1/B________.STEP-1;大抽屉抽拉总图8-17.STEP-1/B-____________-__________.STEP-1/A____________.STEP-1;大抽屉抽拉总图8-17.STEP-1/B-____________-__________.STEP-1/A____________.STEP-2;加长杆-2,endlink1,end_link1,endbody4_endlink1,prismatic,0.034,-0.061735,-0.2935,0,0,0,endBody4,0,0,1,100,1,0,0.12,,,0.1,1,3.14,-3.14,1,1
endlink2,0.0005181,-2.0477E-10,-0.0027812,0,0,0,0.11476,7.3931E-05,-1.1531E-10,8.0168E-07,7.3625E-05,-1.171E-12,1.3185E-05,0,0,0,0,0,0,package://两个电缸/meshes/endlink2.STL,1,1,1,1,0,0,0,0,0,0,package://两个电缸/meshes/endlink2.STL,,大抽屉抽拉总图8-17.STEP-1/B-____________-__________.STEP-1/_______________2.STEP-1/A________ ____ -b.STEP-1;大抽屉抽拉总图8-17.STEP-1/B-____________-__________.STEP-1/_______________2.STEP-1/A________ ____.STEP-1;加长杆-1,endlink2,end_link2,endbody4_endlink2,prismatic,-0.034,-0.061735,-0.2935,0,0,0,endBody4,0,0,1,100,1,0,0.12,,,0.1,1,3.14,-3.14,1,1
