Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
endbody,-0.049092,0.0051357,0.092115,0,0,0,0.58892,0.00061308,3.0822E-07,6.8548E-05,0.00055869,7.511E-07,0.00032867,0,0,0,0,0,0,package://旋转按钮机构组件/meshes/endbody.STL,1,1,1,1,0,0,0,0,0,0,package://旋转按钮机构组件/meshes/endbody.STL,,旋转按钮机构组件.STEP-1/____________.STEP-1/ERG32-150T-1PU-L200-C0-N-A-P40-S00.STEP-1;旋转按钮机构组件.STEP-1/YLJ-01-01-00.STEP-1;旋转按钮机构组件.STEP-1/YLJ-01-02-00.STEP-1;旋转按钮机构组件.STEP-1/YLJ-01-03-00.STEP-1;旋转按钮机构组件.STEP-1/C-JPDB5-8.STEP-1;旋转按钮机构组件.STEP-1/C-JPBB5-8.STEP-1;旋转按钮机构组件.STEP-1/YLJ-01-06-00.STEP-1;旋转按钮机构组件.STEP-1/NPJL10-10.STEP-1;旋转按钮机构组件.STEP-1/STW-D10JF-______.STEP-1,endbody,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
endlink1,-0.0077993,0.024306,0.013004,0,0,0,0.0030345,2.7125E-07,3.7141E-08,4.2906E-08,2.3896E-07,-6.4061E-08,2.0758E-07,0,0,0,0,0,0,package://旋转按钮机构组件/meshes/endlink1.STL,1,1,1,1,0,0,0,0,0,0,package://旋转按钮机构组件/meshes/endlink1.STL,,旋转按钮机构组件.STEP-1/____________.STEP-1/YLJ-01-05-00.STEP-1;旋转按钮机构组件.STEP-1/____________.STEP-1/YLJ-01-04-00.STEP-2,endlink1,end_link1,endbody_endlink1,prismatic,-0.05068,-0.0095,0.1885,0,0,0,endbody,0,-1,0,100,1,-3.14,3.14,,,0.1,1,3.14,-3.14,1,1
endlink2,0.0077993,-0.024306,0.013004,0,0,0,0.0030345,2.7125E-07,3.7141E-08,-4.2906E-08,2.3896E-07,6.4061E-08,2.0758E-07,0,0,0,0,0,0,package://旋转按钮机构组件/meshes/endlink2.STL,1,1,1,1,0,0,0,0,0,0,package://旋转按钮机构组件/meshes/endlink2.STL,,旋转按钮机构组件.STEP-1/____________.STEP-1/YLJ-01-04-00.STEP-1;旋转按钮机构组件.STEP-1/____________.STEP-1/YLJ-01-05-00.STEP-2,endlink2,end_link2,endbody_endlink2,prismatic,-0.07188,-0.0025,0.1885,0,0,0,endbody,0,1,0,100,1,-3.14,3.14,,,0.1,1,3.14,-3.14,1,1
