Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
endbody,-0.0487621819510984,0.00543674529854938,0.0897504195685772,0,0,0,0.573415517602799,0.000611208586170127,3.08089212291482E-07,6.85479147616365E-05,0.0005572532565278,7.51116788121215E-07,0.000325912449254219,0,0,0,0,0,0,package://旋转按钮机构组件1/meshes/endbody.STL,1,1,1,1,0,0,0,0,0,0,package://旋转按钮机构组件1/meshes/endbody.STL,,旋转按钮机构组件.STEP-1/YLJ-01-01-00.STEP-1;旋转按钮机构组件.STEP-1/YLJ-01-02-00.STEP-1;旋转按钮机构组件.STEP-1/YLJ-01-03-00.STEP-1;旋转按钮机构组件.STEP-1/C-JPDB5-8.STEP-1;旋转按钮机构组件.STEP-1/C-JPBB5-8.STEP-1;旋转按钮机构组件.STEP-1/YLJ-01-06-00.STEP-1;旋转按钮机构组件.STEP-1/NPJL10-10.STEP-1;旋转按钮机构组件.STEP-1/STW-D10JF-______.STEP-1;电机-1,endbody,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rotate,6.47520736456447E-07,-1.0997631554252E-06,0.00660439607769858,0,0,0,0.0115977344154224,1.66115837186494E-06,1.33385765189472E-10,5.84593845045676E-12,1.36259488970366E-06,-1.68911687861355E-11,2.57566223582392E-06,0,0,0,0,0,0,package://旋转按钮机构组件1/meshes/rotate.STL,1,1,1,1,0,0,0,0,0,0,package://旋转按钮机构组件1/meshes/rotate.STL,,滑块-1,rotatereference,rotate,endbody_rotate,revolute,-0.06128,-0.006,0.1725,0,0,0,endbody,0,0,1,100,1,-3.14,3.14,,,0.1,1,3.14,-3.14,1,1
endlink1,-0.0058217,0.019764,0.0055009,0,0,0,0.00481,3.7186E-07,3.7141E-08,4.2433E-08,2.6869E-07,-6.4061E-08,2.9875E-07,0,0,0,0,0,0,package://旋转按钮机构组件1/meshes/endlink1.STL,1,1,1,1,0,0,0,0,0,0,package://旋转按钮机构组件1/meshes/endlink1.STL,,旋转按钮机构组件.STEP-1/____________.STEP-1/YLJ-01-05-00.STEP-1;移动块-1;旋转按钮机构组件.STEP-1/____________.STEP-1/YLJ-01-04-00.STEP-2,endlink1,end_link1,rotate_endlink1,prismatic,0.0106,-0.0035,0.016,0,0,0,rotate,0,-1,0,100,1,0,0.018,,,0.1,1,3.14,-3.14,1,1
endlink2,0.0058217,-0.019764,0.0055009,0,0,0,0.00481,3.7186E-07,3.7141E-08,-4.2433E-08,2.6869E-07,6.4061E-08,2.9875E-07,0,0,0,0,0,0,package://旋转按钮机构组件1/meshes/endlink2.STL,1,1,1,1,0,0,0,0,0,0,package://旋转按钮机构组件1/meshes/endlink2.STL,,移动块-2;旋转按钮机构组件.STEP-1/____________.STEP-1/YLJ-01-05-00.STEP-2;旋转按钮机构组件.STEP-1/____________.STEP-1/YLJ-01-04-00.STEP-1,endlink2,end_link2,rotate_endlink2,prismatic,-0.0106,0.0035,0.016,0,0,0,rotate,0,1,0,100,1,0,0.018,,,0.1,1,3.14,-3.14,1,1
