Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
endbody3,-2.749E-05,-0.047586,-0.15922,0,0,0,1.8714,0.0031433,-4.2863E-06,1.1463E-07,0.0028455,-2.1303E-06,0.0012283,0,0,0,0,0,0,package://三个电缸/meshes/endbody3.STL,1,1,1,1,0,0,0,0,0,0,package://三个电缸/meshes/endbody3.STL,,大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/STW-D10JF-_______2.STEP-1;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/____________ - ____.STEP-1;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/TFMEC044-P-120.STEP-1;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/TFMEC044-P-120.STEP-2;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/______IDS830ABS.STEP-1;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/______IDS830ABS.STEP-2;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/____________-0_1.STEP-1;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/____________-0_1.STEP-2;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/B________________.STEP-1,endbody3,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
endllink1,-0.0005181,2.0477E-10,0.0022188,0,0,0,0.11476,7.3931E-05,-1.1531E-10,-8.0168E-07,7.3625E-05,1.171E-12,1.3185E-05,0,0,0,0,0,0,package://三个电缸/meshes/endllink1.STL,1,1,1,1,0,0,0,0,0,0,package://三个电缸/meshes/endllink1.STL,,大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/_______________2.STEP-1/A________ ____.STEP-1;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/_______________2.STEP-1/A________ ____ -b.STEP-1;加长杆-2,endllink1,end_llink1,endbody3_endllink1,prismatic,0.034,-0.061735,-0.2985,0,0,0,endbody3,0,0,1,100,1,0,0.12,,,0.1,1,3.14,-3.14,1,1
endllink2,-0.0073918,0.044164,-0.031571,0,0,0,0.045641,3.8647E-05,6.6552E-06,1.0732E-06,1.4357E-05,-1.1067E-06,3.4869E-05,0,0,0,0,0,0,package://三个电缸/meshes/endllink2.STL,1,1,1,1,0,0,0,0,0,0,package://三个电缸/meshes/endllink2.STL,,大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/A________.STEP-1;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/A____________.STEP-1;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/A____________.STEP-2;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/20K-2M-25.4-C____.STEP-1,endllink2,end_llink2,endbody3_endllink2,prismatic,-0.034,-0.061735,-0.2935,0,0,0,endbody3,0,0,1,100,1,0,0.12,,,0.1,1,3.14,-3.14,1,1
endllink3,-2.3655E-07,0.00029683,-0.0041007,0,0,0,0.001962,5.992E-08,7.7782E-13,1.417E-13,5.4141E-08,3.0527E-10,4.3864E-08,0,0,0,0,0,0,package://三个电缸/meshes/endllink3.STL,1,1,1,1,0,0,0,0,0,0,package://三个电缸/meshes/endllink3.STL,,大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/____.STEP-1;加长轴2-1,endllink3,end_llink3,endllink2_endllink3,prismatic,-0.012,0.082,-0.05245,0,0,0,endllink2,0,0,-1,100,1,0,0.0254,,,0.1,1,3.14,-3.14,1,1
