Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
endbody2,-0.0027407,-0.042059,0.072703,0,0,0,0.45189,0.00039369,4.162E-06,-3.6991E-06,0.00030531,-4.2375E-09,0.0003897,0,0,0,0,0,0,package://摇入摇出机构/meshes/endbody2.STL,1,1,1,1,0,0,0,0,0,0,package://摇入摇出机构/meshes/endbody2.STL,,摇入摇出机构.STEP-1/______2_________________.STEP-1/_____________1.STEP-1/iDM57-RS23 V2.0 ________________.STEP-1;摇入摇出机构.STEP-1/______2_________________.STEP-1/__________________.STEP-1;摇入摇出机构.STEP-1/______2_________________.STEP-1/____________________.STEP-1;摇入摇出机构.STEP-1/______2_________________.STEP-1/C-JPDB5-8_1.STEP-1;摇入摇出机构.STEP-1/______2_________________.STEP-1/C-JPBB5-8_1.STEP-1;摇入摇出机构.STEP-1/______2_________________.STEP-1/STW-D10JF-_______1.STEP-1,endbody2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
endrotatelink,-1.0757E-05,-6.0061E-06,-0.086156,0,0,0,0.051985,1.2277E-05,-6.5213E-09,-1.9512E-10,1.235E-05,-1.8084E-09,5.3078E-06,0,0,0,0,0,0,package://摇入摇出机构/meshes/endrotatelink.STL,1,1,1,1,0,0,0,0,0,0,package://摇入摇出机构/meshes/endrotatelink.STL,,摇入摇出机构.STEP-1/______2_________________.STEP-1/_____________1.STEP-1/_______e__1.STEP-1;摇入摇出机构.STEP-1/______2_________________.STEP-1/_____________1.STEP-1/_________1.STEP-1;摇入摇出机构.STEP-1/______2_________________.STEP-1/_____________1.STEP-1/C-UL12-25.STEP-1;摇入摇出机构.STEP-1/______2_________________.STEP-1/_____________1.STEP-1/MSSK4-10.STEP-1;摇入摇出机构.STEP-1/______2_________________.STEP-1/_____________1.STEP-1/MSSK4-10.STEP-2;摇入摇出机构.STEP-1/______2_________________.STEP-1/_____________1.STEP-1/DBW16-D32-d8-e15.STEP-1,endrotatelink,end_rotatelink,endbody2_endrotatelink,continuous,-0.01,-0.07,0.2611,0,0,0,endbody2,0,0,1,100,1,-3.14,3.14,,,0.1,1,3.14,-3.14,1,1
