Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
endbody3,-2.74902041876302E-05,-0.0475858888201008,-0.159216595046989,0,0,0,1.87144507427306,0.00314331785295318,-4.28630092871515E-06,1.14632851506261E-07,0.00284546097481062,-2.13029349188977E-06,0.00122825976530677,0,0,0,0,0,0,package://三个电缸3.0/meshes/endbody3.STL,1,1,1,1,0,0,0,0,0,0,package://三个电缸3.0/meshes/endbody3.STL,,大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/STW-D10JF-_______2.STEP-1;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/____________ - ____.STEP-1;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/TFMEC044-P-120.STEP-1;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/TFMEC044-P-120.STEP-2;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/______IDS830ABS.STEP-1;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/______IDS830ABS.STEP-2;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/____________-0_1.STEP-1;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/____________-0_1.STEP-2;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/B________________.STEP-1,endbody3,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
endllink1,-0.000518102204362936,2.04771928580261E-10,0.0022188072225735,0,0,0,0.114762678057593,7.39308769431195E-05,-1.15313679948325E-10,-8.01678799602948E-07,7.36250373143943E-05,1.17099466890531E-12,1.3184593237836E-05,0,0,0,0,0,0,package://三个电缸3.0/meshes/endllink1.STL,1,1,1,1,0,0,0,0,0,0,package://三个电缸3.0/meshes/endllink1.STL,,大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/_______________2.STEP-1/A________ ____.STEP-1;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/_______________2.STEP-1/A________ ____ -b.STEP-1;加长杆-2,endllink1,end_llink1,endbody3_endllink1,prismatic,0.034,-0.061735,-0.2985,0,0,0,endbody3,0,0,-1,100,1,0,0.12,,,0.1,1,3.14,-3.14,1,1
endllink2,-0.00370041804012161,0.0221088662302949,0.0142134391423585,0,0,0,0.0911704347799893,9.44656444343186E-05,6.65509743460592E-06,1.07320291259071E-06,7.01807043425792E-05,-1.1067116998024E-06,3.76193230334756E-05,0,0,0,0,0,0,package://三个电缸3.0/meshes/endllink2.STL,1,1,1,1,0,0,0,0,0,0,package://三个电缸3.0/meshes/endllink2.STL,,大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/A________.STEP-1;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/A____________.STEP-1;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/A____________.STEP-2;大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/20K-2M-25.4-C____.STEP-1;加长杆-3,endllink2,end_llink2,endbody3_endllink2,prismatic,-0.034,-0.061735,-0.2935,0,0,0,endbody3,0,0,-1,100,1,0,0.12,,,0.1,1,3.14,-3.14,1,1
endllink3,-2.36545842691172E-07,0.000296825914262562,-0.00410066946871906,0,0,0,0.00196195665581239,5.99195057023392E-08,7.77821851571024E-13,1.4169845935253E-13,5.41405335996216E-08,3.05267285608798E-10,4.38635567081511E-08,0,0,0,0,0,0,package://三个电缸3.0/meshes/endllink3.STL,1,1,1,1,0,0,0,0,0,0,package://三个电缸3.0/meshes/endllink3.STL,,大抽屉抽拉总图8-17.STEP-1/a-____________-__________.STEP-1/____.STEP-1;加长轴2-1,endllink3,end_llink3,endllink2_endllink3,prismatic,-0.012,0.082,-0.05245,0,0,0,endllink2,0,0,-1,100,1,0,0.0254,,,0.1,1,3.14,-3.14,1,1
